insee_code,commune_name,percent_main_housing_year_2020,percent_secondary_housing_year_2020,percent_main_housing_year_2020,percent_vacant_year_2020,percent_single_family_home_year_2020,percent_homeownership_year_2020,percent_renting_year_2020,percent_social_housing_year_2020
01347,Saint-Didier-de-Formans,91.3,1.4,7.3,12,87.8,82.6,16.4,2.8
01348,Saint-Didier-sur-Chalaronne,90.1,6.4,3.5,18.8,81,71.1,27.7,11.4
01349,Saint-Éloi,90.9,4,5.1,0.5,99.5,90.7,8.2,0
01350,Saint-Étienne-du-Bois,92.5,1.2,6.3,16.5,80.9,72.9,26,12.1
01351,Saint-Étienne-sur-Chalaronne,88.6,3.3,8,8.1,90.7,82,16.6,1.7
01352,Saint-Étienne-sur-Reyssouze,86.7,5,8.4,2.3,97.7,80.6,16.8,1.8
01353,Sainte-Euphémie,94.4,2.1,3.5,9.4,90.3,80.9,17.6,4.6
01354,Saint-Genis-Pouilly,90.1,4.6,5.3,72.1,26.7,46.3,52.4,17.5
01355,Saint-Genis-sur-Menthon,89.6,2.3,8.1,11.5,88.5,74,25.4,9.6
01356,Saint-Georges-sur-Renon,90.6,5.9,3.5,5.6,94.4,88.9,11.1,2.5
01357,Saint-Germain-de-Joux,72,15.3,12.7,32.3,67.3,60.6,35.6,19
01358,Saint-Germain-les-Paroisses,74.3,18.9,6.8,6,94,79.9,18.4,1.6
01359,Saint-Germain-sur-Renon,85.5,4.5,10,2.5,97.5,80.6,18.5,0
01360,Saint-Jean-de-Gonville,83.6,6.5,9.9,23.7,76,74.1,24.4,3.6
01361,Saint-Jean-de-Niost,89.5,7.9,2.6,3.8,94.6,88.8,10.4,1.6
01362,Saint-Jean-de-Thurigneux,95,1.1,3.9,5.7,94,84.6,15,1.6
01363,Saint-Jean-le-Vieux,86.9,4.4,8.7,16.3,81.2,70.3,28.1,6.7
01364,Saint-Jean-sur-Reyssouze,80.4,9.7,9.9,8.4,91.1,73.2,24.1,7
01365,Saint-Jean-sur-Veyle,92,2.2,5.9,2.9,96.7,80.4,19.2,7.2
01366,Sainte-Julie,91.6,3.7,4.7,3.7,96.3,83.8,15.4,1.3
01367,Saint-Julien-sur-Reyssouze,80.9,7.5,11.6,25.5,72.5,66.4,31.1,6
01368,Saint-Julien-sur-Veyle,92.9,4.1,3,2.7,97,78.7,19.7,4.4
01369,Saint-Just,95.3,1.3,3.4,14.7,85.3,81,18.5,6.1
01370,Saint-Laurent-sur-Saône,87.8,0.9,11.3,90.3,9.5,22.4,76,28.5
01371,Saint-Marcel,91.9,3,5.1,30.6,69.4,74.2,25,12.2
01372,Saint-Martin-de-Bavel,74.1,15.7,10.2,9.6,90,83.1,16.4,0.6
01373,Saint-Martin-du-Frêne,79.9,4.6,15.6,24.4,75.3,64.4,31.4,6.4
01374,Saint-Martin-du-Mont,85.6,6.8,7.6,6.8,93,80.3,17,1.9
01375,Saint-Martin-le-Châtel,91.4,2,6.6,1.5,98.5,83,15.7,4.1
01376,Saint-Maurice-de-Beynost,93.4,0.5,6.2,52.2,45.5,61.1,37.4,21.5
01378,Saint-Maurice-de-Gourdans,86.9,7.4,5.7,5.8,90.4,83.3,14.5,0.1
01379,Saint-Maurice-de-Rémens,83.4,10.1,6.5,6.3,92.4,73.5,24.8,6.9
01380,Saint-Nizier-le-Bouchoux,77.9,10.9,11.2,9.8,89.9,84.6,14.7,6.6
